"Alex Kutek","Frelek Sp.k.","4355585485","07044291883060"
"pan Aleks Plich","Gill-Cylwik Sp.k.","9595655762","25225611212658"
"Aniela Knysak","PPUH G¹bka s.c.","2545419375","79424332598153"
"Natan Kozar","Gabinety Œwiêtoñ","6436054391","03893234606950"
"pani Dorota Oleszko","Jonczyk Sp.k.","4166883767","49099752278584"
"Maurycy Sidorczuk","FPUH Szynkiewicz","7172800658","33885486147486"
"Krystyna Pasiut","PPUH Klucznik-Obarzanek Sp. z o.o.","4233600522","73631725318891"
"pani Kornelia Job","Golon Sp.j.","4160928693","77001080633548"
"Sonia Kultys","Ska³ka-Dziuban s.c.","9410046845","31046070181963"
"Juliusz Nagórka","Stowarzyszenie Ros³oñ-Krzywonos i syn s.c.","9670002046","73366380789096"
"pan Marcel Zaborek","FPUH Petrus-Misiuk Sp.k.","2476454396","63094768369030"
"Ewelina Wojtalewicz","Stasica-Mzyk Sp. z o.o. Sp.k.","1776916765","53230374035587"
"Ewelina Peciak","Fundacja Cierpka s.c.","3190392363","87138085087235"
"Malwina Fr¹czkiewicz","Waloszczyk Sp.j.","9444247108","45831719151799"
"Angelika Salomon","FPUH PrzewoŸniak-Saba³a Sp.k.","1598943138","75759215826885"
"Bartek Ga³ach","Fundacja Kurp s.c.","1810658944","07705782726825"
"Albert Chuchla","Fundacja Armata","8433776736","95015766005950"
"pan Maks P³ócienniczak","Machniak Sp. z o.o. Sp.k.","8998198096","99555528577950"
"Wiktor Siemek","Fundacja Szramka-Hermann S.A.","5950096655","41131666072242"
"pan Cezary Ma³¿","Grupa Cymba³a-Kobel Sp.j.","4846921395","05674477733379"
"Bianka Franaszek","Gabinety Fidura-Ligas Sp. z o.o.","3889789559","01219894981653"
"Olaf Hnat","Grupa Œwigoñ","9578081399","83203201322144"
"Marika Grab","Windak Sp. z o.o.","9147344664","93321513244740"
"Kalina Chatys","Wódka-Gêgotek Sp. z o.o. Sp.k.","1650714294","19739926520610"
"Robert Kijanka","Dumin-Pos³uszny S.A.","7268514839","11388246158229"
"Ignacy Szemraj","Spó³dzielnia Siejak s.c.","6476130371","69177958305378"
"Agnieszka Pielech","Spó³dzielnia Hajda-Kawula s.c.","4421421190","61031339135011"
"Sylwia Kandora","Smolorz Sp. z o.o. Sp.k.","3542609897","05353940454955"
"pani Natasza Bystroñ","Fundacja Kucharzyk Sp. z o.o.","7858143640","53841852764247"
"pan Leon Armata","Grupa Citko","8221573974","75367327922760"
"Konstanty Kowaluk","BrzeŸniak s.c.","4416185025","69073870284398"
"Kamil Moskalik","Dylak-Trawka i syn s.c.","1540502622","29047166084350"
"pani Tola Strycharz","Spó³dzielnia Flaga","3534924644","85264251797510"
"pan Iwo Zander","Stowarzyszenie Franaszek-Przenios³o Sp. z o.o.","4696346669","77829183915059"
"Olgierd Furmankiewicz","PPUH Ma³ys-Andruszko Sp.j.","9940183082","13830231776546"
"Rozalia Kolanko","Bulak Sp.k.","5677880888","27354792062107"
"Julianna Wietecha","Grupa Grêbowiec-Kawulok s.c.","6617706070","89292802759264"
"Emil BrzeŸniak","Grupa St¹pór","8972927220","23249981867670"
"Dariusz Kuba","Kusztal-Wita S.A.","8573544316","01423151076708"
"Tymon Steciuk","FPUH Ornat-Wo³czyk Sp. z o.o.","5149342437","25380881022961"
"Wojciech Dorynek","FPUH Jaracz","2735179566","83125742538463"
"Janina Bork","Gabinety Sa³uda","4258740567","93650086772325"
"Krystyna S³oboda","Spó³dzielnia Serwach","4980637434","77232984807363"
"pan Krzysztof Nieradko","PPUH Wac³aw","9499480449","99210238254704"
"pani Agnieszka Kuban","Spó³dzielnia Grupa Sp. z o.o. Sp.k.","5481909872","43200306028182"
"Ada Fularczyk","Fundacja £uczkiewicz Sp.k.","1195462104","39705681479702"
"Ignacy Wiencek","Stowarzyszenie Kozubal-Ciarka S.A.","7446344702","49345361009865"
"Juliusz Dr¹¿yk","Grupa Wawak-Pytko s.c.","9744046377","25999943135099"
"pan Andrzej Grzywnowicz","Fundacja Pieczyrak","5513048233","55668686398788"
"Marianna Dietrich","Czerkies-Pietrusiewicz Sp.j.","4248315147","99502565399167"
"Rafa³ Bona","Fundacja Flasza-Ferdyn Sp. z o.o. Sp.k.","4486865920","73474019043685"
"pan Bruno Nieszporek","Prokurat s.c.","4277951816","15021039195686"
"Nela Misior","PrzewoŸna Sp.j.","5371057563","31162684273244"
"Nela Szmalec","PPUH Gendek s.c.","6689415123","75167940923001"
